Date;Open;High;Low;Close
12.09.2018;105340;105360;105340;105350
12.09.2018;105380;105400;105380;105400
12.09.2018;105380;105400;105380;105400
12.09.2018;105380;105410;105380;105410
12.09.2018;105380;105380;105380;105380
12.09.2018;105380;105390;105370;105370
12.09.2018;105410;105430;105410;105430
12.09.2018;105420;105420;105380;105420
12.09.2018;105360;105360;105360;105360
12.09.2018;105330;105340;105270;105270
12.09.2018;105270;105300;105270;105300
12.09.2018;105290;105290;105220;105260
12.09.2018;105250;105250;105160;105170
12.09.2018;105160;105200;105160;105160
12.09.2018;105180;105190;105180;105190
12.09.2018;105140;105180;105110;105180
12.09.2018;105140;105140;105140;105140
12.09.2018;105200;105200;105200;105200
12.09.2018;105280;105350;105280;105330
12.09.2018;105350;105350;105330;105330
12.09.2018;105290;105310;105290;105310
12.09.2018;105340;105340;105340;105340
12.09.2018;105330;105490;105330;105490
12.09.2018;105500;105500;105470;105480
12.09.2018;105510;105510;105450;105450
12.09.2018;105450;105490;105450;105490
12.09.2018;105490;105530;105490;105520
12.09.2018;105550;105610;105550;105610
12.09.2018;105620;105660;105620;105620
12.09.2018;105650;105810;105650;105760
12.09.2018;105810;105810;105730;105730
12.09.2018;105710;105710;105670;105680
12.09.2018;105680;105680;105680;105680
12.09.2018;105670;105670;105660;105670
12.09.2018;105680;105700;105650;105700
12.09.2018;105700;105700;105690;105690
12.09.2018;105720;105740;105680;105680
12.09.2018;105660;105660;105610;105650
12.09.2018;105660;105660;105610;105610
12.09.2018;105620;105620;105580;105610
12.09.2018;105620;105650;105610;105650
12.09.2018;105650;105650;105650;105650
12.09.2018;105660;105660;105660;105660
12.09.2018;105690;105710;105660;105660
12.09.2018;105640;105710;105640;105710
12.09.2018;105630;105650;105620;105650
12.09.2018;105680;105700;105670;105700
12.09.2018;105700;105710;105700;105710
12.09.2018;105660;105690;105660;105670
12.09.2018;105690;105740;105680;105740
12.09.2018;105700;105740;105700;105740
12.09.2018;105750;105760;105710;105710
12.09.2018;105760;105760;105690;105690
12.09.2018;105750;105750;105740;105740
12.09.2018;105740;105750;105740;105750
12.09.2018;105760;105790;105760;105790
12.09.2018;105790;105790;105750;105760
12.09.2018;105790;105810;105780;105800
12.09.2018;105750;105750;105750;105750
12.09.2018;105800;105920;105800;105920
12.09.2018;105910;106000;105910;105930
12.09.2018;105920;105920;105870;105890
12.09.2018;105870;105870;105800;105800
12.09.2018;105800;105800;105750;105800
12.09.2018;105800;105800;105790;105790
12.09.2018;105820;105820;105810;105810
12.09.2018;105800;105800;105800;105800
12.09.2018;105780;105780;105780;105780
12.09.2018;105770;105770;105770;105770
12.09.2018;105770;105770;105740;105740
12.09.2018;105740;105780;105740;105760
12.09.2018;105760;105800;105740;105800
12.09.2018;105760;105770;105730;105740
12.09.2018;105720;105730;105720;105730
12.09.2018;105710;105720;105710;105720
12.09.2018;105720;105720;105720;105720
12.09.2018;105710;105710;105680;105690
12.09.2018;105690;105690;105690;105690
12.09.2018;105700;105700;105630;105650
12.09.2018;105690;105730;105660;105660
12.09.2018;105660;105680;105650;105680
12.09.2018;105680;105690;105680;105690
12.09.2018;105710;105710;105710;105710
12.09.2018;105720;105720;105720;105720
12.09.2018;105730;105730;105730;105730
12.09.2018;105800;105800;105800;105800
12.09.2018;105850;105880;105780;105810
12.09.2018;105840;105840;105840;105840
12.09.2018;105770;105770;105770;105770
12.09.2018;105760;105760;105760;105760
12.09.2018;105770;105790;105770;105770
12.09.2018;105830;105830;105790;105800
12.09.2018;105800;105800;105790;105790
12.09.2018;105760;105760;105730;105730
12.09.2018;105760;105770;105760;105770
12.09.2018;105770;105800;105730;105730
12.09.2018;105750;105750;105740;105740
12.09.2018;105770;105770;105770;105770
12.09.2018;105760;105760;105730;105730
12.09.2018;105770;105770;105770;105770
12.09.2018;105850;105850;105850;105850
12.09.2018;105820;105820;105820;105820
12.09.2018;105740;105740;105730;105730
12.09.2018;105720;105760;105720;105760
12.09.2018;105740;105740;105740;105740
12.09.2018;105810;105820;105780;105780
